EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
732,29,Yes,Non-Travel,Research & Development,22,3,Medical,4,Female,4,1,Manufacturing Director,1,Single,58604,7,No,23,3,4,1,11,1,3,0,0,0,0
733,20,Yes,Non-Travel,Research & Development,6,3,Other,4,Female,3,2,Research Director,4,Married,71573,5,Yes,24,3,4,1,2,3,4,14,9,1,1
734,35,No,Travel_Rarely,Research & Development,14,1,Human Resources,3,Female,4,1,Healthcare Representative,3,Married,65099,7,No,19,3,2,0,17,5,3,2,1,0,2
735,39,No,Travel_Rarely,Research & Development,27,2,Other,4,Male,3,4,Research Director,2,Married,116721,2,No,23,3,2,2,21,6,4,0,0,0,0
736,38,No,Non-Travel,Human Resources,26,3,Human Resources,3,Male,3,2,Human Resources,2,Married,109549,7,No,16,3,4,1,20,0,4,0,0,0,0
737,39,No,Travel_Frequently,Research & Development,16,2,Life Sciences,2,Female,3,3,Manager,4,Divorced,106390,0,No,19,3,2,0,21,6,3,0,0,0,0
738,35,Yes,Travel_Rarely,Research & Development,14,3,Other,1,Male,4,5,Research Director,2,Married,153181,1,No,18,4,2,1,17,2,3,2,1,0,1
739,26,No,Travel_Frequently,Research & Development,16,4,Human Resources,3,Female,3,2,Laboratory Technician,3,Single,92391,5,Yes,11,3,1,1,8,2,3,8,0,0,2
740,42,No,Travel_Frequently,Research & Development,4,4,Technical Degree,4,Female,3,5,Manager,3,Divorced,162161,3,Yes,24,3,1,0,24,5,4,7,0,1,0
741,25,Yes,Non-Travel,Sales,9,5,Technical Degree,1,Female,4,1,Sales Representative,3,Divorced,43103,7,No,19,3,4,2,7,0,2,0,0,0,0
742,33,Yes,Travel_Rarely,Sales,1,4,Other,4,Female,3,1,Manager,3,Divorced,68144,1,No,18,3,3,2,15,1,1,1,1,1,0
743,33,No,Non-Travel,Sales,12,4,Life Sciences,4,Female,2,1,Sales Representative,3,Divorced,74039,9,No,11,3,2,2,15,4,4,27,1,2,1
744,26,Yes,Travel_Rarely,Research & Development,29,2,Life Sciences,4,Female,4,1,Manufacturing Director,3,Single,77313,7,No,19,4,1,0,8,3,1,1,1,1,1
745,47,Yes,Travel_Rarely,Sales,23,4,Life Sciences,4,Female,2,2,Manager,3,Married,97213,3,Yes,15,3,3,1,29,1,3,0,0,0,0
746,28,Yes,Non-Travel,Research & Development,13,5,Other,3,Male,3,2,Healthcare Representative,4,Divorced,84036,7,No,14,3,3,2,10,3,2,6,6,0,0
747,31,No,Travel_Frequently,Research & Development,2,4,Life Sciences,3,Male,3,4,Research Director,1,Married,119353,5,No,24,3,3,0,13,1,4,2,2,1,2
748,46,No,Travel_Rarely,Human Resources,16,1,Technical Degree,4,Female,4,3,Manager,4,Divorced,103055,2,No,20,3,3,1,28,1,2,1,1,1,0
749,48,No,Non-Travel,Research & Development,17,4,Technical Degree,3,Male,3,2,Laboratory Technician,3,Divorced,73392,5,No,24,4,4,1,30,2,4,0,0,0,0
750,24,No,Travel_Rarely,Research & Development,17,2,Marketing,3,Male,3,2,Manager,1,Married,98870,4,Yes,24,3,3,1,6,2,3,3,0,0,1
751,36,No,Travel_Rarely,Sales,23,5,Human Resources,4,Female,4,1,Sales Representative,3,Married,66765,4,No,21,3,3,2,18,1,2,0,0,0,0
752,39,Yes,Travel_Rarely,Sales,19,4,Human Resources,4,Female,3,3,Manager,2,Married,134804,3,No,18,3,2,0,21,3,4,15,3,1,0
753,27,No,Travel_Frequently,Sales,9,1,Technical Degree,4,Female,4,1,Sales Representative,2,Divorced,47846,4,No,20,3,3,1,9,4,4,9,1,6,5
754,45,Yes,Non-Travel,Research & Development,24,4,Medical,4,Male,3,1,Research Scientist,3,Single,73645,4,No,23,3,4,1,27,1,1,0,0,0,0
755,39,Yes,Travel_Rarely,Sales,11,2,Medical,2,Female,4,1,Manager,2,Married,72633,3,No,11,3,4,1,21,1,3,3,1,3,2
756,18,No,Non-Travel,Sales,22,3,Technical Degree,2,Female,3,4,Manager,1,Divorced,127568,3,No,12,3,2,2,0,2,3,16,3,2,6
757,29,No,Travel_Rarely,Sales,14,5,Marketing,4,Female,3,3,Sales Executive,3,Married,81379,4,No,25,3,3,1,11,1,3,13,1,3,11
758,49,No,Non-Travel,Research & Development,23,3,Medical,3,Male,4,2,Research Director,4,Married,100658,5,Yes,17,3,3,2,31,2,3,11,7,1,0
759,52,No,Travel_Rarely,Research & Development,3,4,Marketing,4,Male,3,3,Research Director,1,Married,95861,6,Yes,18,4,3,0,34,5,1,4,4,0,4
760,42,Yes,Non-Travel,Sales,6,1,Human Resources,3,Male,1,1,Sales Executive,3,Divorced,58948,0,No,14,3,2,0,24,6,3,5,0,0,5
761,23,No,Travel_Frequently,Human Resources,19,2,Marketing,2,Male,3,1,Manager,4,Divorced,68622,3,No,12,3,2,3,5,6,4,23,5,6,2
762,45,Yes,Travel_Frequently,Sales,8,1,Marketing,4,Male,3,1,Sales Executive,1,Single,69108,2,No,19,4,2,1,27,1,2,5,4,0,2
763,34,No,Travel_Rarely,Research & Development,23,1,Other,2,Female,4,1,Research Scientist,1,Single,64954,4,No,14,3,4,1,16,3,2,0,0,0,0
764,45,No,Non-Travel,Sales,12,5,Human Resources,4,Male,3,1,Sales Representative,3,Divorced,76937,8,No,21,4,3,1,27,3,3,5,0,2,3
765,44,No,Travel_Rarely,Human Resources,11,4,Medical,1,Female,2,1,Human Resources,1,Single,81412,6,No,15,3,4,1,26,3,4,25,3,0,4
766,33,Yes,Travel_Rarely,Sales,7,4,Medical,2,Male,3,3,Manager,2,Married,98411,7,No,18,3,2,0,15,5,1,11,3,1,2
767,33,No,Travel_Frequently,Research & Development,28,4,Life Sciences,4,Female,2,2,Research Scientist,3,Married,103702,8,Yes,18,3,4,0,15,4,4,14,0,2,7
768,34,No,Travel_Rarely,Sales,20,3,Marketing,1,Male,3,3,Sales Executive,3,Married,90814,5,No,20,3,3,2,16,6,3,1,1,1,1
769,31,No,Travel_Rarely,Research & Development,24,3,Medical,4,Female,2,3,Manufacturing Director,1,Single,100829,6,No,21,3,3,0,13,2,4,0,0,0,0
770,30,No,Travel_Rarely,Research & Development,7,1,Life Sciences,2,Male,4,2,Research Scientist,4,Single,118356,8,Yes,15,4,3,0,12,4,3,21,5,5,2
771,31,No,Travel_Frequently,Sales,29,3,Other,1,Male,3,5,Sales Representative,3,Divorced,155446,7,No,20,3,4,1,13,2,3,2,2,1,2
772,33,No,Travel_Rarely,Research & Development,2,5,Marketing,2,Female,3,4,Research Director,4,Married,113465,4,No,22,4,3,2,15,3,4,6,6,2,6
773,41,Yes,Travel_Frequently,Research & Development,20,4,Other,1,Male,4,2,Laboratory Technician,2,Single,111709,5,No,12,3,3,3,23,2,3,1,1,1,1
774,60,No,Non-Travel,Research & Development,28,2,Marketing,3,Male,3,2,Manufacturing Director,4,Single,73147,6,No,14,3,3,2,42,4,3,2,2,0,2
775,54,No,Non-Travel,Research & Development,2,2,Marketing,1,Female,3,4,Research Director,1,Married,118380,2,No,11,3,2,1,36,0,4,4,1,1,1
776,18,No,Non-Travel,Research & Development,27,4,Life Sciences,3,Male,4,1,Research Director,4,Married,70426,3,No,13,4,3,0,0,6,1,9,0,1,1
777,51,No,Non-Travel,Sales,28,3,Other,4,Female,3,1,Manager,3,Single,75409,3,No,15,3,4,1,33,5,2,4,0,4,2
778,24,No,Non-Travel,Human Resources,5,1,Life Sciences,3,Female,4,3,Manager,4,Single,118888,3,No,18,3,4,2,6,1,4,4,2,0,0
779,32,No,Travel_Rarely,Human Resources,23,2,Technical Degree,3,Male,3,3,Human Resources,2,Divorced,119499,8,No,20,3,2,0,14,5,3,1,1,1,0
780,28,Yes,Non-Travel,Sales,24,4,Other,3,Male,4,4,Sales Executive,4,Married,132980,5,No,13,3,3,2,10,3,4,0,0,0,0
781,36,No,Non-Travel,Research & Development,2,1,Other,4,Female,3,2,Laboratory Technician,3,Married,81313,4,No,22,3,4,0,18,1,2,13,1,1,0
782,56,No,Travel_Frequently,Sales,19,5,Human Resources,2,Female,4,3,Sales Executive,4,Single,88644,4,No,17,4,4,2,38,4,2,5,1,0,0
783,29,Yes,Travel_Frequently,Sales,15,5,Human Resources,1,Female,3,2,Manager,4,Single,86102,7,No,25,3,3,2,11,6,3,10,10,7,8
784,51,Yes,Non-Travel,Sales,2,1,Marketing,3,Male,3,4,Manager,3,Divorced,142031,7,Yes,17,3,1,3,33,1,3,2,2,1,2
785,29,Yes,Travel_Rarely,Research & Development,6,5,Other,3,Female,3,3,Manager,3,Single,124350,3,No,19,3,3,1,11,3,3,2,2,0,2
786,38,Yes,Non-Travel,Research & Development,4,3,Marketing,4,Male,3,1,Manufacturing Director,4,Divorced,81488,6,Yes,22,3,2,1,20,1,2,5,1,0,5
787,43,No,Travel_Rarely,Human Resources,25,5,Technical Degree,4,Male,2,5,Human Resources,1,Divorced,192219,5,No,19,3,2,1,25,0,4,0,0,0,0
788,30,No,Travel_Rarely,Research & Development,6,5,Other,2,Male,4,2,Healthcare Representative,3,Divorced,92718,1,No,13,3,4,1,12,0,4,8,8,1,0
789,50,No,Non-Travel,Research & Development,24,1,Other,3,Female,3,4,Research Scientist,4,Single,136729,9,Yes,18,3,4,3,32,5,4,3,3,2,3
790,28,Yes,Travel_Rarely,Research & Development,27,1,Marketing,4,Female,3,2,Manufacturing Director,3,Married,94777,5,Yes,16,3,2,0,10,5,1,2,0,2,2
791,26,No,Travel_Rarely,Research & Development,14,3,Life Sciences,3,Male,4,2,Research Scientist,3,Single,105809,5,No,15,3,2,3,8,1,4,1,1,1,1
792,32,No,Travel_Rarely,Human Resources,10,3,Medical,4,Female,3,5,Manager,2,Divorced,151697,4,No,11,3,4,2,14,3,4,2,2,0,2
793,33,No,Non-Travel,Research & Development,27,5,Human Resources,4,Female,3,1,Research Scientist,4,Single,65415,1,No,11,3,2,1,15,1,3,1,1,1,1
794,48,No,Travel_Rarely,Research & Development,19,1,Life Sciences,4,Female,2,1,Healthcare Representative,3,Married,66635,0,Yes,12,3,4,1,30,1,3,15,0,1,9
795,47,No,Non-Travel,Research & Development,7,2,Medical,4,Male,3,2,Healthcare Representative,3,Divorced,84189,1,No,23,3,2,1,29,5,1,1,1,1,1
796,27,No,Travel_Frequently,Sales,12,2,Technical Degree,4,Female,3,2,Manager,4,Divorced,111307,6,No,24,3,2,3,9,1,3,19,1,0,4
797,42,Yes,Travel_Rarely,Sales,4,2,Medical,1,Female,4,1,Sales Executive,3,Divorced,61151,9,No,24,3,3,0,24,1,2,9,0,0,1
798,49,No,Non-Travel,Sales,15,2,Medical,4,Female,4,1,Sales Executive,2,Divorced,83292,0,No,12,3,4,2,31,3,3,26,1,3,2
799,35,Yes,Travel_Frequently,Sales,14,1,Marketing,3,Female,3,3,Sales Representative,3,Single,113477,3,No,18,4,3,1,17,3,2,20,0,0,5
800,51,Yes,Non-Travel,Research & Development,19,4,Marketing,2,Female,2,2,Research Scientist,2,Married,67043,7,No,23,3,2,0,33,6,3,4,4,0,0
801,34,Yes,Non-Travel,Research & Development,4,3,Other,3,Female,3,1,Manufacturing Director,3,Married,41649,8,No,21,4,4,0,16,4,2,1,1,1,0
802,45,No,Non-Travel,Research & Development,17,2,Other,3,Female,3,3,Research Director,1,Married,113114,8,No,20,3,2,0,27,6,4,1,1,1,1
803,30,Yes,Travel_Frequently,Sales,22,5,Human Resources,2,Female,4,2,Manager,1,Divorced,114843,4,Yes,14,3,3,0,12,4,2,4,0,2,4
804,36,No,Travel_Rarely,Sales,29,2,Medical,3,Female,3,1,Sales Executive,2,Married,64176,0,No,12,3,3,0,18,5,2,27,2,1,9
805,42,Yes,Travel_Frequently,Human Resources,4,3,Other,3,Male,3,3,Human Resources,4,Divorced,134575,4,Yes,25,3,4,2,24,0,2,11,7,1,2
806,40,Yes,Travel_Frequently,Human Resources,24,1,Technical Degree,3,Male,1,4,Human Resources,4,Single,128577,8,No,21,3,4,2,22,1,3,8,0,3,2
807,37,No,Travel_Rarely,Research & Development,6,2,Medical,4,Female,2,1,Laboratory Technician,3,Divorced,58796,9,No,21,3,3,2,19,0,4,3,3,0,3
808,31,Yes,Travel_Frequently,Sales,23,1,Medical,2,Female,4,2,Sales Executive,3,Married,91262,4,Yes,21,3,2,0,13,6,2,24,2,0,2
809,33,Yes,Travel_Frequently,Research & Development,29,5,Human Resources,2,Female,3,1,Manager,4,Divorced,81907,4,No,19,3,2,2,15,5,2,1,0,0,1
810,23,No,Non-Travel,Human Resources,25,5,Technical Degree,4,Female,3,2,Human Resources,3,Single,87590,0,No,17,3,2,0,5,1,3,1,1,1,1
811,36,No,Travel_Rarely,Human Resources,2,5,Human Resources,3,Male,2,2,Human Resources,3,Divorced,94604,3,Yes,13,3,4,0,18,6,4,1,1,1,1
812,39,Yes,Travel_Frequently,Sales,5,5,Technical Degree,2,Male,4,1,Manager,2,Single,62361,3,Yes,21,3,3,2,21,5,2,2,0,0,0
813,32,Yes,Non-Travel,Research & Development,3,3,Medical,4,Female,4,1,Healthcare Representative,2,Divorced,75392,0,No,23,3,4,1,14,6,1,4,3,1,0
814,40,Yes,Travel_Frequently,Sales,26,5,Other,3,Female,3,3,Sales Executive,3,Married,113953,5,No,17,3,4,0,22,2,4,3,3,1,1
815,46,Yes,Travel_Rarely,Research & Development,17,4,Technical Degree,4,Female,3,1,Research Director,3,Single,46515,0,No,17,3,4,1,28,2,2,18,13,1,2
816,39,No,Non-Travel,Sales,17,2,Marketing,3,Female,3,2,Sales Executive,2,Married,73646,3,No,13,3,3,0,21,3,3,2,1,1,2
817,37,Yes,Non-Travel,Sales,26,1,Human Resources,1,Female,3,3,Manager,3,Divorced,100605,9,No,18,3,3,0,19,4,3,0,0,0,0
818,29,No,Travel_Rarely,Sales,16,4,Medical,3,Male,4,4,Sales Executive,2,Divorced,113109,4,Yes,21,3,4,0,11,6,4,0,0,0,0
819,44,Yes,Travel_Rarely,Research & Development,10,4,Marketing,1,Female,3,1,Research Scientist,2,Single,42109,9,Yes,21,3,3,0,26,5,3,16,0,3,11
820,37,No,Travel_Frequently,Research & Development,12,3,Life Sciences,4,Female,4,1,Healthcare Representative,2,Single,78375,6,Yes,16,4,4,2,19,1,1,0,0,0,0
821,39,No,Travel_Rarely,Research & Development,27,5,Human Resources,4,Male,3,1,Research Director,4,Single,42942,4,No,15,3,1,2,21,6,1,5,2,0,5
822,36,No,Travel_Rarely,Research & Development,2,3,Medical,4,Male,3,4,Research Director,2,Single,147677,5,No,15,3,3,0,18,0,2,6,1,1,4
823,39,Yes,Non-Travel,Research & Development,29,1,Human Resources,2,Female,4,2,Research Director,4,Single,90128,9,Yes,19,3,4,3,21,3,4,6,1,2,0
824,22,No,Travel_Frequently,Sales,25,5,Technical Degree,3,Male,3,2,Manager,1,Married,72308,1,Yes,25,3,1,0,4,0,4,3,3,1,3
825,20,No,Travel_Frequently,Research & Development,17,1,Medical,4,Male,2,1,Research Director,2,Divorced,83381,1,No,13,3,1,0,2,4,4,11,1,0,2
826,38,Yes,Non-Travel,Research & Development,5,1,Life Sciences,4,Female,4,4,Manager,3,Married,162943,6,No,20,3,4,0,20,2,4,4,4,1,4
827,38,Yes,Non-Travel,Research & Development,6,2,Human Resources,2,Female,1,1,Research Director,2,Divorced,53625,6,Yes,13,3,3,0,20,1,3,14,3,2,1
828,36,No,Travel_Frequently,Sales,25,3,Medical,1,Female,2,1,Sales Representative,2,Married,56683,0,No,16,3,4,1,18,6,4,3,3,0,3
829,43,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Male,2,1,Research Director,1,Single,65623,8,No,16,3,1,0,25,1,1,23,2,0,2
830,26,No,Non-Travel,Sales,21,4,Technical Degree,2,Male,4,1,Manager,2,Divorced,83941,2,No,20,3,3,3,8,3,4,9,0,0,1
831,24,Yes,Travel_Rarely,Human Resources,28,5,Other,2,Female,3,3,Manager,1,Divorced,93803,3,No,15,3,1,1,6,2,4,4,1,0,1
832,36,No,Travel_Rarely,Research & Development,10,3,Human Resources,3,Male,1,1,Research Director,3,Single,75459,9,No,22,3,3,2,18,4,3,4,3,4,1
833,47,No,Non-Travel,Sales,25,5,Other,3,Female,3,3,Sales Executive,4,Divorced,124596,4,No,19,3,4,1,29,6,3,6,0,2,0
834,50,Yes,Travel_Rarely,Research & Development,10,5,Human Resources,3,Female,2,1,Research Director,4,Single,79084,4,No,23,3,3,2,32,0,3,1,1,0,1
835,23,No,Travel_Rarely,Research & Development,21,1,Technical Degree,3,Female,2,3,Laboratory Technician,4,Married,106872,0,No,18,3,4,1,5,4,3,1,1,0,0
836,47,Yes,Travel_Frequently,Sales,1,3,Life Sciences,4,Male,3,2,Manager,2,Married,67092,2,No,25,3,3,2,29,5,3,5,0,0,1
837,33,Yes,Travel_Frequently,Sales,18,4,Human Resources,4,Female,3,2,Manager,3,Married,69515,6,No,15,3,3,1,15,5,2,8,0,0,1
838,31,No,Travel_Rarely,Research & Development,7,3,Technical Degree,4,Female,4,4,Research Scientist,1,Divorced,140979,5,Yes,12,3,4,0,13,6,4,0,0,0,0
839,41,No,Travel_Rarely,Sales,29,4,Life Sciences,1,Female,3,3,Manager,1,Single,115751,8,Yes,20,3,3,2,23,3,4,13,1,2,1
840,38,Yes,Travel_Rarely,Research & Development,3,3,Other,3,Male,1,3,Research Scientist,4,Divorced,104951,8,Yes,20,3,4,2,20,0,4,0,0,0,0
841,30,No,Travel_Rarely,Research & Development,15,5,Marketing,3,Male,3,4,Laboratory Technician,4,Married,145544,4,No,25,3,1,0,12,0,3,11,1,1,5
842,43,Yes,Non-Travel,Research & Development,13,1,Medical,2,Female,4,3,Manager,3,Divorced,92694,7,No,21,3,1,3,25,5,2,6,6,0,5
843,22,No,Travel_Rarely,Research & Development,6,2,Marketing,2,Female,3,5,Research Scientist,3,Married,157548,2,Yes,16,3,2,1,4,2,4,4,1,1,4
844,54,Yes,Travel_Rarely,Research & Development,19,3,Technical Degree,2,Male,3,3,Laboratory Technician,1,Single,125376,5,No,18,3,2,0,36,1,3,5,0,0,2
845,28,Yes,Travel_Frequently,Research & Development,9,3,Life Sciences,4,Female,2,1,Healthcare Representative,1,Single,61588,8,No,24,3,3,0,10,0,4,4,1,0,2
846,40,Yes,Travel_Rarely,Sales,29,5,Human Resources,4,Male,4,5,Sales Representative,4,Single,160738,2,Yes,12,4,3,1,22,5,3,0,0,0,0
847,39,No,Non-Travel,Human Resources,29,1,Human Resources,4,Male,3,2,Manager,2,Single,77630,3,No,24,3,4,1,21,6,4,12,3,2,2
848,32,Yes,Non-Travel,Sales,13,4,Medical,4,Female,3,5,Sales Executive,1,Married,150486,1,No,18,3,4,2,14,3,3,7,0,1,1
849,27,No,Travel_Frequently,Research & Development,12,1,Marketing,4,Male,3,2,Healthcare Representative,1,Divorced,92030,1,No,21,4,2,3,9,3,2,8,6,0,0
850,18,No,Non-Travel,Research & Development,25,3,Medical,2,Male,3,2,Laboratory Technician,4,Married,120631,9,No,19,3,2,1,0,0,4,0,0,0,0
851,30,No,Non-Travel,Research & Development,23,3,Human Resources,4,Male,3,1,Research Scientist,4,Married,72968,8,Yes,22,3,4,0,12,3,4,0,0,0,0
852,30,No,Travel_Frequently,Sales,8,5,Technical Degree,3,Male,4,3,Manager,2,Married,88509,7,No,16,4,3,1,12,0,3,20,3,3,4
853,39,No,Non-Travel,Human Resources,13,5,Medical,3,Male,4,5,Human Resources,3,Divorced,142009,7,No,20,3,3,3,21,3,1,2,2,0,2
854,28,Yes,Non-Travel,Research & Development,21,2,Marketing,3,Male,3,2,Laboratory Technician,3,Single,75536,0,No,21,3,4,0,10,3,4,18,0,2,5
855,41,No,Travel_Rarely,Research & Development,28,3,Marketing,4,Female,2,2,Healthcare Representative,3,Married,106078,8,Yes,23,3,1,3,23,1,3,7,0,2,7
856,35,No,Non-Travel,Research & Development,27,2,Medical,2,Male,2,2,Laboratory Technician,4,Divorced,102703,9,No,15,3,3,3,17,6,3,0,0,0,0
857,30,No,Non-Travel,Sales,8,2,Marketing,4,Female,4,1,Sales Executive,4,Divorced,69083,9,No,17,4,2,2,12,1,4,3,2,3,3
858,39,Yes,Travel_Frequently,Sales,25,4,Other,3,Male,3,2,Manager,3,Married,60756,8,No,11,3,3,0,21,2,4,0,0,0,0
859,49,Yes,Travel_Frequently,Research & Development,3,3,Medical,3,Male,3,5,Research Scientist,1,Married,133709,9,No,15,3,1,0,31,1,3,7,5,0,1
860,40,No,Non-Travel,Sales,15,3,Life Sciences,3,Male,3,1,Sales Representative,4,Single,57335,8,No,14,3,4,0,22,0,4,0,0,0,0
861,20,Yes,Travel_Rarely,Research & Development,18,1,Human Resources,1,Male,3,1,Manager,4,Divorced,36542,1,No,20,3,2,2,2,5,4,0,0,0,0
862,47,Yes,Travel_Frequently,Research & Development,14,4,Human Resources,4,Female,4,2,Laboratory Technician,4,Married,85911,5,No,23,3,4,0,29,6,3,14,1,1,0
863,41,No,Travel_Frequently,Research & Development,10,2,Human Resources,2,Female,3,5,Healthcare Representative,4,Single,160203,5,No,22,3,4,3,23,6,3,0,0,0,0
864,29,Yes,Travel_Frequently,Human Resources,8,2,Other,1,Female,3,1,Manager,4,Single,71498,9,No,25,3,2,2,11,5,1,9,3,0,0
865,47,No,Travel_Rarely,Sales,19,5,Other,3,Female,2,1,Sales Representative,2,Married,74448,8,Yes,20,3,2,1,29,4,3,0,0,0,0
866,26,Yes,Travel_Rarely,Human Resources,23,2,Marketing,3,Female,2,2,Human Resources,3,Married,70003,5,Yes,19,4,3,3,8,6,4,6,1,0,5
867,47,No,Travel_Rarely,Sales,24,1,Life Sciences,1,Male,4,3,Sales Executive,2,Divorced,137740,4,Yes,12,3,2,1,29,4,2,9,4,0,1
868,44,No,Travel_Frequently,Sales,9,3,Human Resources,4,Female,3,2,Manager,3,Divorced,96265,2,Yes,18,3,4,1,26,2,3,23,3,0,0
869,39,Yes,Travel_Rarely,Research & Development,18,2,Other,4,Female,3,1,Research Scientist,1,Married,89257,3,No,12,3,4,1,21,5,4,6,6,2,6
870,32,Yes,Non-Travel,Research & Development,19,5,Human Resources,2,Male,2,2,Laboratory Technician,4,Single,101348,0,No,13,3,3,1,14,2,3,7,1,6,0
871,26,Yes,Non-Travel,Sales,28,5,Medical,3,Female,3,3,Sales Representative,3,Married,114287,5,Yes,14,3,3,3,8,5,2,8,0,0,2
872,40,No,Non-Travel,Sales,25,4,Human Resources,2,Female,4,3,Manager,4,Divorced,101331,4,No,15,3,2,0,22,6,4,4,4,0,4
873,31,No,Non-Travel,Research & Development,16,3,Medical,3,Female,3,1,Research Director,3,Divorced,63120,8,No,22,3,3,3,13,3,2,8,3,2,1
874,18,No,Non-Travel,Sales,20,4,Human Resources,4,Male,2,1,Sales Executive,3,Divorced,52087,0,Yes,23,3,1,2,0,2,4,28,1,0,1
875,22,No,Travel_Rarely,Research & Development,10,2,Technical Degree,2,Female,4,3,Manager,3,Divorced,116194,0,No,11,3,4,2,4,1,3,17,1,4,0
876,43,No,Non-Travel,Research & Development,6,5,Other,2,Female,4,1,Research Scientist,4,Married,73984,0,No,13,3,4,0,25,6,2,1,1,1,1
877,26,Yes,Travel_Rarely,Research & Development,5,4,Life Sciences,4,Male,2,1,Manager,4,Divorced,85867,7,No,20,4,4,2,8,0,3,1,1,0,0
878,35,Yes,Non-Travel,Sales,6,1,Life Sciences,2,Female,3,2,Manager,4,Divorced,76307,6,Yes,12,3,4,0,17,3,2,11,0,0,4
879,32,Yes,Travel_Frequently,Sales,6,4,Other,3,Female,3,5,Manager,2,Divorced,166114,5,No,19,3,1,2,14,1,4,7,3,2,4
880,24,No,Travel_Frequently,Research & Development,5,2,Human Resources,4,Male,2,1,Healthcare Representative,2,Married,81457,0,Yes,21,3,3,0,6,4,3,0,0,0,0
881,41,No,Travel_Frequently,Research & Development,12,2,Other,3,Female,4,5,Manager,2,Divorced,136822,3,Yes,21,3,4,2,23,5,4,7,7,7,4
882,43,No,Travel_Frequently,Sales,3,2,Life Sciences,4,Male,3,1,Sales Representative,2,Single,60436,2,No,24,3,3,3,25,1,3,0,0,0,0
883,27,No,Travel_Frequently,Research & Development,14,2,Medical,1,Female,4,1,Laboratory Technician,3,Single,99177,6,No,24,3,1,1,9,3,3,4,1,2,4
884,40,No,Non-Travel,Sales,20,3,Technical Degree,4,Female,4,5,Sales Representative,2,Married,158764,0,No,11,3,1,3,22,1,3,2,0,0,2
885,49,No,Travel_Rarely,Research & Development,27,3,Technical Degree,4,Male,4,2,Healthcare Representative,3,Married,102590,4,No,24,3,2,0,31,3,3,2,2,0,1
886,27,No,Travel_Rarely,Research & Development,2,5,Life Sciences,4,Male,2,1,Research Director,1,Divorced,75402,1,No,13,3,3,2,9,3,4,12,1,2,2
887,28,No,Travel_Frequently,Research & Development,8,3,Life Sciences,3,Male,3,4,Laboratory Technician,1,Single,133289,1,No,11,3,1,0,10,1,1,0,0,0,0
888,44,Yes,Travel_Frequently,Sales,23,4,Human Resources,4,Male,2,4,Sales Representative,2,Married,111562,8,No,16,3,3,0,26,5,1,23,9,1,6
889,31,No,Travel_Rarely,Sales,19,1,Human Resources,4,Male,4,3,Sales Executive,2,Single,105512,6,No,13,3,4,1,13,6,4,2,2,0,0
890,26,No,Non-Travel,Sales,4,3,Life Sciences,4,Female,2,2,Sales Representative,1,Single,117308,7,Yes,18,3,1,1,8,4,3,1,1,1,1
891,38,No,Travel_Rarely,Research & Development,9,5,Human Resources,4,Male,3,4,Research Director,3,Divorced,115231,1,Yes,23,3,4,2,20,2,4,18,2,3,2
892,46,Yes,Travel_Frequently,Research & Development,18,3,Life Sciences,3,Female,3,3,Manufacturing Director,3,Married,123783,1,No,17,3,1,3,28,6,2,1,1,1,0
893,41,Yes,Travel_Frequently,Research & Development,19,5,Life Sciences,2,Female,2,2,Research Scientist,2,Divorced,57426,8,No,20,3,3,2,23,5,2,39,2,3,2
894,40,No,Non-Travel,Research & Development,14,1,Medical,4,Male,2,4,Healthcare Representative,4,Divorced,149652,8,No,13,3,2,1,22,6,2,15,2,1,3
895,27,No,Travel_Rarely,Research & Development,29,5,Technical Degree,3,Male,3,4,Healthcare Representative,4,Single,126194,9,No,19,3,1,0,9,4,4,0,0,0,0
896,43,No,Non-Travel,Sales,4,4,Marketing,4,Female,4,5,Manager,3,Divorced,137416,4,No,13,3,4,2,25,4,4,2,2,0,2
897,49,Yes,Travel_Frequently,Human Resources,7,4,Human Resources,1,Female,3,5,Manager,3,Single,142314,1,Yes,24,3,3,1,31,6,1,1,0,0,1
898,47,No,Non-Travel,Research & Development,13,5,Other,4,Male,3,2,Research Scientist,3,Married,47437,8,No,18,3,2,1,29,1,3,0,0,0,0
899,29,No,Travel_Frequently,Research & Development,29,5,Human Resources,4,Male,1,1,Laboratory Technician,4,Single,81576,3,No,18,3,3,2,11,1,3,11,3,0,1
900,46,Yes,Travel_Frequently,Research & Development,20,4,Life Sciences,4,Female,3,1,Manufacturing Director,3,Married,76379,6,No,14,3,4,1,28,4,4,3,1,3,3
901,30,No,Travel_Frequently,Research & Development,19,2,Marketing,4,Female,4,1,Laboratory Technician,1,Divorced,26286,8,No,13,3,4,1,12,4,3,1,1,0,1
902,18,No,Non-Travel,Research & Development,10,1,Medical,2,Male,3,5,Manufacturing Director,3,Single,107515,0,Yes,24,3,3,2,0,4,4,5,5,3,2
